,iata_code,icao_code,country_code,country_name,latitude,longitude,elev_ft,nrunways,longest_runway_ft,name,traffic_region,source
0,ORD,KORD,US,United States,41.97805555,-87.90611111,672.0,7.0,13000.0,,North America,MIT_AEIC
1,ATL,KATL,US,United States,33.64083333,-84.42722222,1026.0,6.0,11890.0,,North America,MIT_AEIC
2,DFW,KDFW,US,United States,32.89638888,-97.04111111,607.0,8.0,13401.0,,North America,MIT_AEIC
3,LAX,KLAX,US,United States,33.94222222,-118.4072222,125.0,5.0,12091.0,,North America,MIT_AEIC
4,IAH,KIAH,US,United States,29.98333333,-95.33999999,97.0,5.0,12001.0,,North America,MIT_AEIC
5,LHR,EGLL,GB,United Kingdom,51.47138888,-0.45277777,83.0,2.0,12799.0,,Europe,MIT_AEIC
6,CDG,LFPG,FR,France,49.00972222,2.54861111,392.0,4.0,13829.0,,Europe,MIT_AEIC
7,FRA,EDDF,DE,Germany,50.03194444,8.52777777,364.0,3.0,13123.0,,Europe,MIT_AEIC
8,DEN,KDEN,US,United States,39.85833333,-104.6669444,5431.0,6.0,16000.0,,North America,MIT_AEIC
9,DTW,KDTW,US,United States,42.21666666,-83.34444444,645.0,6.0,12003.0,,North America,MIT_AEIC
10,AMS,EHAM,NL,Netherlands,52.30833333,4.76805555,-11.0,6.0,12467.0,,Europe,MIT_AEIC
11,PHL,KPHL,US,United States,39.86805555,-75.24861111,36.0,4.0,10506.0,,North America,MIT_AEIC
12,CVG,KCVG,US,United States,39.04777777,-84.66861111,896.0,4.0,12000.0,,North America,MIT_AEIC
13,MSP,KMSP,US,United States,44.88611111,-93.21777777,841.0,4.0,11006.0,,North America,MIT_AEIC
14,PHX,KPHX,US,United States,33.43611111,-112.0094444,1135.0,4.0,11489.0,,North America,MIT_AEIC
15,EWR,KEWR,US,United States,40.69583333,-74.17166666,18.0,4.0,11000.0,,North America,MIT_AEIC
16,CLT,KCLT,US,United States,35.21916666,-80.93583333,748.0,3.0,10000.0,,North America,MIT_AEIC
17,IAD,KIAD,US,United States,38.94166666,-77.4575,312.0,4.0,11501.0,,North America,MIT_AEIC
18,JFK,KJFK,US,United States,40.63861111,-73.77694444,13.0,8.0,14572.0,,North America,MIT_AEIC
19,LGA,KLGA,US,United States,40.77944444,-73.87583333,21.0,4.0,7003.0,,North America,MIT_AEIC
20,LAS,KLAS,US,United States,36.07972222,-115.1588889,2181.0,4.0,14510.0,,North America,MIT_AEIC
21,MAD,LEMD,ES,Spain,40.47361111,-3.56111111,2000.0,4.0,14272.0,,Europe,MIT_AEIC
22,BOS,KBOS,US,United States,42.36361111,-71.00611111,20.0,6.0,10083.0,,North America,MIT_AEIC
23,MUC,EDDM,DE,Germany,48.13249999,11.69916666,1487.0,2.0,13123.0,,Europe,MIT_AEIC
