,ac_code_icao,n_eng,e_type,wake,engine_bada,manual_file,engine_id,engine_database,combustor_description,eng_type,bp_ratio,press_ratio,rated_output,to_hc,co_hc,app_hc,idle_hc,lto_hc,to_co,co_co,app_co,idle_co,lto_co,to_nox,co_nox,app_nox,idle_nox,lto_nox,to_sn,co_sn,app_sn,idle_sn,max_sn,fuel_spec,to_fflow,co_fflow,app_fflow,idle_fflow,lto_fuel,amb_baro,amb_temp,humidity,manufacturer,source,synonyms,power,to_pm,co_pm,app_pm,idle_pm,valid
0,A1,2,Turboprop,M,TPE331-11U-601G,SW4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
1,A10,2,Jet,M,TF34-GE-100,A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
2,A124,4,Jet,H,D-18T,A124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
3,A140,2,Turboprop,M,TV3-117VMA-SBM1,A140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
4,A148,2,Jet,M,D-436-148,A148,13ZM004,D-436-148 F2,-,TF,4.9,20.73,68.72,0.09,0.05,0.08,1.39,2194,0.48,0.4,2.71,19.56,31217,19.76,16.64,7.31,3.78,9862,6.7,,,,6.9,RT,0.581,0.493,0.225,0.099,274,99.02-102.66,266-301,0.00248-0.01624,IVCHENKO PROGRESS ZMBK,icao,,,,,,,TRUE
5,A158,2,Jet,M,D-436-148,A158,13ZM003,D-436-148 F1,-,TF,4.9,19.8,64.43,0.1,0.04,0.07,2.26,3548,0.54,0.54,2.99,23.46,37387,18.93,16,7.26,3.64,9546,6.7,,,,6.7,RT,0.548,0.468,0.218,0.093,260,99.02-102.66,266-301,0.00248-0.01624,IVCHENKO PROGRESS ZMBK,icao,,,,,,,TRUE
6,A178,2,Jet,M,CF34-10E6,E190,11GE146,CF34-10E7,2253M21-PFN,TF,5.09,27.2,83.7,0.05,0.09,0.1,4.02,568,0.89,0.77,4.02,41.73,6067,19.68,16.22,7.94,3.69,3214,12.74,6.91,0.1,0.5,12.7,Jet A1,0.87,0.717,0.239,0.088,326,97.2-97.9,292-298,0.0053 - 0.0078,GE Aircraft Engines,icao,,,,,,,TRUE
7,A19,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
8,A19N,2,Jet,M,PW1127G,A20N,18PW122,PW1127G-JM,TALON X,TF,12.28,31.66,120.43,0.02,0.04,0.02,0.43,59,0.22,0.3,5.36,27.93,3819,18.82,15.3,9.07,4.84,3096,13.4,10.5,0.5,1.2,13.4,Jet-A,0.8,0.67,0.2322,0.08,303,99.56 - 101.71,265.6 - 278.15,0.00071 - 0.00203,Pratt & Whitney,icao,,,,,,,TRUE
9,A20J,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
10,A20N,2,Jet,M,PW1127G,A20N,18PW122,PW1127G-JM,TALON X,TF,12.28,31.66,120.43,0.02,0.04,0.02,0.43,59,0.22,0.3,5.36,27.93,3819,18.82,15.3,9.07,4.84,3096,13.4,10.5,0.5,1.2,13.4,Jet-A,0.8,0.67,0.2322,0.08,303,99.56 - 101.71,265.6 - 278.15,0.00071 - 0.00203,Pratt & Whitney,icao,,,,,,,TRUE
11,A210,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
12,A211,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
13,A21N,2,Jet,M,LEAP-1A32,A21N,20CM090,LEAP-1A35A/33/33B2/32/30,TAPS II,TF,10.5,38.5,143.1,0.05,0.02,0.04,0.21,39,0.3,0.24,1.79,18.68,3019,59.74,32.35,9.95,4.85,7795,1.105,1.17,1.31,1.25,1.56,JET A,1.062,0.869,0.284,0.098,380,97.8 to 98.8,274.6 to 279.8,.0020 to .0032,CFM International,icao,,,,,,,TRUE
14,A22,1,Piston,L,IO-360-C1C6,P28R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
15,A225,4,Jet,H,D-18T,A124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
16,A23,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
17,A270,2,Turboprop,L,PT6A-112,F406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
18,A3,2,Jet,M,TF34-GE-100,A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
19,A306,2,Jet,H,PW4158,A306,1PW048,PW4158,Reduced smoke,TF,4.6,30.7,258,0.09,0.02,0.14,1.78,623,0.4,0.54,1.88,20.99,7401,30.2,23.7,11.8,4.8,12928,8.1,,,,8.1,Jet A,2.481,2.004,0.682,0.211,862,100.2,299,0.01,Pratt & Whitney,icao,,,,,,,TRUE
20,A30B,2,Jet,H,CF6-50C2,A30B,3GE074,CF6-50C2,Low emissions fuel nozzle,TF,4.3,28.44,230.4,0.14,0.15,0.28,2.72,788,0.45,0.45,3.71,24.04,6863,28.97,25.5,10.16,3.4,11884,10.95,11.72,1.62,1.4,12.52,Jet A,2.361,1.94,0.663,0.163,769,97.73-97.91,292.3-301.3,.0127-.0216,GE Aircraft Engines,icao,,,,,,,TRUE
21,A310,2,Jet,H,CF6-80C2A2,A310,2GE037,CF6-80C2A2,1862M39,TF,5.1,27.79,233.35,0.05,0.05,0.12,1.9,602,0.04,0.05,2.56,21.97,6958,22.35,18.37,11.86,4.49,9339,5.8,3.2,0,0,5.8,Jet A,2.152,1.771,0.59,0.192,765,97.61-98.15,279-293,.00457-.00743,GE Aircraft Engines,icao,,,,,,,TRUE
